day,cell_type,cells/g,Condition,id,cells/mg
1,CTL,0.0,Untreated,1,0.0
1,CTL,0.0,Untreated,2,0.0
1,CTL,0.0,Untreated,3,0.0
1,CTL,9214.86109,TST,4,9.214861090000001
1,CTL,14328.85777,TST,5,14.32885777
1,CTL,20278.23611,TST,6,20.27823611
1,CD11bGr1,1448141.026,Untreated,1,1448.141026
1,CD11bGr1,1750924.899,Untreated,2,1750.9248989999999
1,CD11bGr1,720836.1736,Untreated,3,720.8361735999999
1,CD11bGr1,188200.6425,TST,4,188.2006425
1,CD11bGr1,1350904.75,TST,5,1350.90475
1,CD11bGr1,1109630.752,TST,6,1109.630752
3,CTL,0.0,Untreated,11,0.0
3,CTL,0.0,Untreated,12,0.0
3,CTL,0.0,Untreated,13,0.0
3,CTL,2268515.702,TST,14,2268.515702
3,CTL,2605309.586,TST,15,2605.3095860000003
3,CTL,3772213.262,TST,16,3772.213262
3,CD11bGr1,1147631.751,Untreated,11,1147.631751
3,CD11bGr1,1388138.358,Untreated,12,1388.138358
3,CD11bGr1,779251.6506,Untreated,13,779.2516506000001
3,CD11bGr1,6379417.086,TST,14,6379.417086
3,CD11bGr1,7564279.538,TST,15,7564.279538
3,CD11bGr1,11562168.46,TST,16,11562.16846
5,CTL,0.0,Untreated,17,0.0
5,CTL,0.0,Untreated,18,0.0
5,CTL,0.0,Untreated,19,0.0
5,CTL,4208137.5,TST,20,4208.1375
5,CTL,5513084.472,TST,21,5513.0844720000005
5,CTL,2792581.772,TST,22,2792.581772
5,CTL,1401577.611,TST,23,1401.577611
5,CTL,4738916.667,TST,24,4738.916667
5,CD11bGr1,3585356.932,Untreated,17,3585.356932
5,CD11bGr1,1799022.364,Untreated,18,1799.0223640000002
5,CD11bGr1,2638844.484,Untreated,19,2638.844484
5,CD11bGr1,8301923.438,TST,20,8301.923438
5,CD11bGr1,8427490.361,TST,21,8427.490361
5,CD11bGr1,4074026.222,TST,22,4074.026222
5,CD11bGr1,6148856.617,TST,23,6148.8566169999995
5,CD11bGr1,6885936.054,TST,24,6885.936054
7,CTL,0.0,Untreated,24,0.0
7,CTL,0.0,Untreated,25,0.0
7,CTL,0.0,Untreated,26,0.0
7,CTL,1085860.158,TST,27,1085.860158
7,CTL,983644.4531,TST,28,983.6444531000001
7,CTL,1168920.0,TST,29,1168.92
7,CD11bGr1,900403.3799,Untreated,24,900.4033799
7,CD11bGr1,1407587.252,Untreated,25,1407.587252
7,CD11bGr1,2362271.303,Untreated,26,2362.271303
7,CD11bGr1,1360476.988,TST,27,1360.476988
7,CD11bGr1,5393085.105,TST,28,5393.085105
7,CD11bGr1,4204182.857,TST,29,4204.182857
